RANK,ELO,LEVEL,ALIAS,STREAK,WINS,LOSSES,RATIO,TOTAL,LAST GAME
54,1423,,nub,+1,87,39,69%,126,2023/04/17
55,1422,,MP_HappyPanther,+2,25,14,64%,39,2023/04/09
56,1421,,PanzerGrenadier,+5,90,63,59%,153,2023/04/10
57,1420,,WouldULike2BeAPepper2?,+1,109,70,61%,179,2023/04/12
58,1420,,Hing-gi,-1,298,217,58%,515,2023/04/10
59,1419,,TarNationZ,+4,20,4,83%,24,2023/04/01
60,1416,,TRI1091,-1,24,9,73%,33,2023/04/10
61,1415,,今夜薄雾,+10,14,1,93%,15,2023/04/08
62,1414,,Farlion,+5,39,14,74%,53,2023/04/15
63,1413,,Simplify,+2,19,4,83%,23,2023/04/10
64,1407,,Jae,+1,64,29,69%,93,2023/04/09
65,1406,,sheenhochul,+4,120,88,58%,208,2023/04/17
66,1405,,DarkAlric,+11,66,32,67%,98,2023/04/17
67,1404,,W00tLeLBrrrrrrrrrrrrrr,+10,53,23,70%,76,2023/04/16
68,1402,,lattouf,+6,35,18,66%,53,2023/04/18
69,1400,,Ra11,+3,16,2,89%,18,2023/04/03
70,1400,,Estocade Gaming YT,+2,47,16,75%,63,2023/03/26
71,1400,,Ghost,+2,51,30,63%,81,2023/03/25
72,1398,,Niklas,+1,13,2,87%,15,2023/04/06
73,1398,,vegetabledoge,+1,53,29,65%,82,2023/04/12
74,1392,,Finndeed,-1,27,9,75%,36,2023/03/24
75,1391,,Begbie,+2,66,37,64%,103,2023/04/10
76,1391,,Vector,+5,34,12,74%,46,2023/04/17
77,1389,,Miguel,+3,10,1,91%,11,2023/04/16
78,1389,,vwvc,+11,27,10,73%,37,2023/04/14
79,1387,,포스트정윤종,+6,28,7,80%,35,2023/04/05
80,1382,,Hallelujah,-1,77,24,76%,101,2023/04/17
81,1382,,Zyswen,+1,49,20,71%,69,2023/04/05
82,1381,,Walther,+10,10,0,100%,10,2023/04/08
83,1379,,U SUCK,+9,51,22,70%,73,2023/03/23
84,1378,,hhjjjjjj,+9,100,68,60%,168,2023/04/17
85,1376,,OMGPOP!,+3,29,11,73%,40,2023/04/08
86,1375,,PutPut - AusarTheVile,+1,44,21,68%,65,2023/04/15
87,1374,,Faad3e_,+1,9,1,90%,10,2023/04/13
88,1374,,Luckeeey,+4,93,58,62%,151,2023/04/15
89,1374,,悲伤淹没了你,+2,57,32,64%,89,2023/04/06
90,1374,,TheChosen,+8,48,25,66%,73,2023/03/25
91,1371,,Logys P,+6,37,15,71%,52,2023/04/05
92,1370,,Luvnest,-1,23,9,72%,32,2023/04/17
93,1370,,lePepsi,-1,25,12,68%,37,2023/03/23
94,1369,,Stevanevus,+1,16,4,80%,20,2023/04/07
95,1367,,Equuz,+1,44,17,72%,61,2023/04/17
96,1363,,JZuna,+4,19,6,76%,25,2023/03/30
97,1362,,Vesat Eiwalter,-2,133,74,64%,207,2023/04/09
98,1360,,T.R. 3nder,+1,24,8,75%,32,2023/04/07
99,1359,,DexN,+2,49,30,62%,79,2023/04/15
100,1358,,RTHabibty,+1,255,212,55%,467,2023/04/16
101,1358,,The101stAirBorne,+4,68,40,63%,108,2023/04/15
102,1358,,*Mule,+2,13,2,87%,15,2023/04/08
103,1356,,Kamikaze Scotsman,+6,39,19,67%,58,2023/03/30
104,1355,,Vosi-K,+3,164,139,54%,303,2023/04/17
105,1354,,Clororaa,+2,12,2,86%,14,2023/03/29
106,1354,,幽灵,-1,61,43,59%,104,2023/04/11
107,1354,,Vector,-3,39,20,66%,59,2023/04/12
108,1353,,nystrom,+7,12,2,86%,14,2023/04/18
109,1351,,AceHiro,+6,38,23,62%,61,2023/04/05
110,1350,,Imperial Dane,+1,37,23,62%,60,2023/04/16
111,1350,,隆美尔的马戏团,+2,64,36,64%,100,2023/04/10
112,1350,,Pat Sajack Headlock,-1,73,45,62%,118,2023/04/08
113,1349,,Jokren,+1,13,4,76%,17,2023/03/27
114,1347,,VonManteuffel,-1,21,6,78%,27,2023/04/14
115,1343,,Jelly Bean,-2,23,8,74%,31,2023/03/26
116,1343,,Shut up and buy some skins!,-1,14,5,74%,19,2023/04/01
117,1341,,Erebys,-2,111,89,56%,200,2023/03/30
118,1337,,are,+2,120,79,60%,199,2023/04/17
119,1337,,VulcanHDGaming No.1 Fan,-3,92,58,61%,150,2023/04/14
120,1337,,SLush,+1,209,149,58%,358,2023/04/04
121,1336,,Herr Blautier,+2,66,46,59%,112,2023/04/14
122,1335,,-NSO- Hon3ynuts,+6,11,1,92%,12,2023/03/31
123,1333,,BarelyPlaying,+5,36,21,63%,57,2023/04/16
124,1333,,Dr. Jekyll,+3,16,6,73%,22,2023/04/03
125,1333,,Inverse,-1,35,15,70%,50,2023/04/17
126,1332,,m0ek,+4,28,17,62%,45,2023/03/24
127,1332,,Bames Nond Having A Stronk,+1,66,44,60%,110,2023/04/17
128,1330,,ohmygod321,+5,36,18,67%,54,2023/04/03
129,1330,,Sunny,+5,11,1,92%,12,2023/04/11
130,1328,,SKT,+3,14,4,78%,18,2023/04/13
131,1328,,DarthPotato,+5,57,39,59%,96,2023/04/14
132,1328,,Enemy,-2,57,36,61%,93,2023/04/18
133,1328,,GentleFox,-1,24,12,67%,36,2023/04/16
134,1327,,whynot,+1,63,39,62%,102,2023/04/17
