RANK,ELO,LEVEL,ALIAS,STREAK,WINS,LOSSES,RATIO,TOTAL,LAST GAME
168,1302,,찰지구나,+5,197,140,58%,337,2023/04/17
169,1301,,shisty44,+2,82,64,56%,146,2023/03/31
170,1300,,cvvonly,-2,37,13,74%,50,2023/03/28
171,1299,,LostsKy_Deity,+2,150,100,60%,250,2023/04/14
172,1299,,CUBYX,-2,95,72,57%,167,2023/04/02
173,1299,,Watchmedothis,+7,64,35,65%,99,2023/04/16
174,1299,,RedClownLips,+5,32,17,65%,49,2023/04/15
175,1299,,VulcanHDGaming No.1 Fan,-4,10,6,63%,16,2023/04/01
176,1298,,PunisHer1638,-1,45,22,67%,67,2023/04/16
177,1296,,himynameisho,+1,46,24,66%,70,2023/04/11
178,1296,,1337 HAXX0R,+3,43,24,64%,67,2023/04/09
179,1296,,WouldULike2BeAPepper2?,-1,74,50,60%,124,2023/04/15
180,1295,,smallNhii,-2,108,71,60%,179,2023/04/17
181,1294,,ouchouch,-2,70,43,62%,113,2023/04/01
182,1294,,^1Soldat^0James,+3,30,11,73%,41,2023/04/08
183,1292,,Jae,-1,22,8,73%,30,2023/04/01
184,1292,,cohmod,+1,19,10,66%,29,2023/04/16
185,1291,,SturmTigerGoat,+15,22,7,76%,29,2023/03/22
186,1291,,Vector,+3,29,13,69%,42,2023/04/17
187,1291,,Empa,+6,55,28,66%,83,2023/04/16
188,1290,,Blue Bear,+1,11,2,85%,13,2023/04/07
189,1290,,Sweet Pea,-1,63,39,62%,102,2023/04/12
190,1289,,Dragoon,+1,42,22,66%,64,2023/03/22
191,1289,,Trainzz,-1,36,18,67%,54,2023/04/18
192,1289,,LoopDloop,+6,23,11,68%,34,2023/03/23
193,1289,,DaPopeCOH,-1,18,6,75%,24,2023/04/08
194,1288,,Zyswen,+3,16,5,76%,21,2023/04/16
195,1288,,Tobis,-1,9,3,75%,12,2023/04/14
196,1287,,Exerate,+2,24,10,71%,34,2023/04/10
197,1286,,V_l_a_d_o_V ℠,-3,57,34,63%,91,2023/04/09
198,1285,,[EL] Senpai Ares,+1,19,7,73%,26,2023/04/07
199,1285,,PaniC-.-,+3,10,2,83%,12,2023/04/06
200,1285,,FK9DD,+2,63,35,64%,98,2023/04/14
201,1285,,Hidzaro,+1,15,5,75%,20,2023/04/15
202,1285,,AHOIENMQ,-1,22,7,76%,29,2023/03/26
203,1284,,OnCe_Ov3R,-2,150,112,57%,262,2023/04/02
204,1283,,Bulat,-1,27,13,68%,40,2023/04/01
205,1282,,Pony by Nature,+2,13,4,76%,17,2023/04/15
206,1281,,TowerNumberNine,-1,91,73,55%,164,2023/04/15
207,1281,,GenObi,+1,111,81,58%,192,2023/04/16
208,1281,,Blackman!!!,+5,33,14,70%,47,2023/03/28
209,1281,,Kroll,+3,45,31,59%,76,2023/04/17
210,1280,,ℎ ℯ ℛ ℴ™羞涩的信封,-2,169,123,58%,292,2023/04/17
211,1280,,Increase,+1,115,83,58%,198,2023/04/16
212,1279,,lush_meadow,+6,13,3,81%,16,2023/04/17
213,1279,,Green Béret,+4,14,5,74%,19,2023/04/13
214,1279,,cblanco ★,+5,16,4,80%,20,2023/03/25
215,1279,,Snoopa,+1,30,15,67%,45,2023/04/14
216,1277,,tightrope,+1,28,14,67%,42,2023/04/14
217,1276,,.:PSG:. RedxWings,-1,57,38,60%,95,2023/04/17
218,1275,,Synthsere,+1,71,42,63%,113,2023/04/16
219,1275,,给我一颗星,-1,58,35,62%,93,2023/04/01
220,1274,,[ACES].MaxHoang,+3,57,36,61%,93,2023/04/17
221,1273,,SkYisTheLimiT,-3,21,9,70%,30,2023/03/31
222,1272,,gilashley,+1,11,3,79%,14,2023/03/25
223,1270,,Crovax,-1,19,6,76%,25,2023/03/31
224,1270,,ahegao blade,-4,16,7,70%,23,2023/04/03
225,1270,,Harold H,-3,35,18,66%,53,2023/04/15
226,1269,,nystrom,-2,83,43,66%,126,2023/04/17
227,1269,,NoBugJustSkill,+3,95,59,62%,154,2023/04/17
228,1269,,Penetron2000,+3,46,27,63%,73,2023/04/16
229,1268,,A1_Prospectors,-1,8,2,80%,10,2023/04/07
230,1267,,Dr. Jekyll,-2,8,3,73%,11,2023/04/12
231,1267,,Jeep Enjoyer,-1,219,164,57%,383,2023/04/18
232,1267,,Bufftin,+4,13,3,81%,16,2023/04/09
233,1266,,小芙丽娅,-2,45,24,65%,69,2023/03/29
234,1265,,Imperates,-1,64,48,57%,112,2023/04/06
235,1265,,50584sh,+1,39,22,64%,61,2023/04/15
236,1264,,LaDin2,-1,15,8,65%,23,2023/03/24
237,1264,,Contador,+2,50,41,55%,91,2023/04/10
238,1264,,Gravemouth,+6,10,2,83%,12,2023/03/25
239,1264,,Darunjia,+2,29,14,67%,43,2023/03/29
240,1264,,Jimbob2121,+6,45,27,63%,72,2023/03/30
241,1263,,BananaInPajamas,+1,13,7,65%,20,2023/04/17
242,1263,,Virgile[FR],+6,13,2,87%,15,2023/04/15
243,1262,,CristianRonaldoOfCoh2,+4,11,3,79%,14,2023/03/28
244,1262,,BeeFat,+3,10,3,77%,13,2023/04/08
245,1262,,MR_BLORB,-2,78,50,61%,128,2023/04/17
246,1261,,[KSG] Blackwing,+3,29,20,59%,49,2023/04/17
247,1260,,Khan,+6,14,5,74%,19,2023/04/17
248,1260,,Bucho Burns,+4,12,6,67%,18,2023/03/25
249,1260,,IIIIIIIIIII7,+9,9,2,82%,11,2023/03/27
250,1259,,FuzZiioN,+3,22,11,67%,33,2023/04/01
251,1259,,LB,-1,25,11,69%,36,2023/04/17
252,1259,,WebsterBolek,-2,13,6,68%,19,2023/04/12
253,1259,,Microsoft Word,-1,11,2,85%,13,2023/04/02
254,1257,,bog,+7,45,29,61%,74,2023/03/30
255,1257,,2506Brigade,+2,10,2,83%,12,2023/04/10
256,1257,,ranger,-1,103,83,55%,186,2023/04/12
257,1257,,Enemy,+2,15,4,79%,19,2023/04/14
258,1257,,Tiltimus Prime,+4,115,93,55%,208,2023/04/11
259,1256,,matwyr,-1,24,13,65%,37,2023/04/17
260,1255,,Clororaa,+3,11,3,79%,14,2023/03/30
261,1255,,Kaduin,+7,52,34,60%,86,2023/04/10
262,1255,,Frost,+7,14,5,74%,19,2023/04/04
263,1254,,Otvor,-1,58,32,64%,90,2023/04/10
264,1254,,鸡饲料锐评农场主,+1,54,41,57%,95,2023/04/13
265,1253,,BlueSkidrow,+1,13,4,76%,17,2023/04/10
266,1253,,xbubalo,+1,32,14,70%,46,2023/04/16
267,1253,,Imperial Dane,-4,13,7,65%,20,2023/04/14
268,1251,,asd 546,+3,43,25,63%,68,2023/04/05
269,1249,,Ulrich,-1,22,15,59%,37,2023/03/27
270,1249,,Panzerfaust,-1,73,53,58%,126,2023/04/15
271,1248,,Noah,+1,11,5,69%,16,2023/03/25
272,1248,,PanzerGrenadier,-2,36,24,60%,60,2023/04/17
273,1248,,AceHiro,-1,41,22,65%,63,2023/04/04
274,1248,,Ho Lee Fuk,+2,24,11,69%,35,2023/04/03
275,1247,,wile,+3,10,4,71%,14,2023/03/27
276,1247,,Noob Nath,+6,58,39,60%,97,2023/04/17
277,1247,,Fortune,+5,12,4,75%,16,2023/04/16
278,1247,,Jensen,-1,13,4,76%,17,2023/03/21
279,1246,,ChocolateStarfish,+3,17,6,74%,23,2023/04/17
280,1246,,Rasler63,+2,33,18,65%,51,2023/04/04
281,1245,,DD響,+2,14,7,67%,21,2023/04/12
282,1245,,SexPistole,+3,32,16,67%,48,2023/04/12
283,1244,,panther,-5,34,16,68%,50,2023/04/10
284,1243,,DCッ,+1,9,3,75%,12,2023/04/05
285,1243,,Trademark,+4,15,6,71%,21,2023/03/23
286,1243,,Manupktd,+2,54,36,60%,90,2023/04/07
287,1243,,ChuaMC,+2,73,55,57%,128,2023/04/17
288,1242,,Commissaire Gropopov,-1,10,3,77%,13,2023/03/25
289,1242,,Rechter Winkel,-1,66,42,61%,108,2023/04/02
290,1242,,Dominik,+3,12,4,75%,16,2023/04/10
291,1242,,IpKaiFung,-2,23,15,61%,38,2023/04/18
292,1241,,Redhorrn,-1,8,2,80%,10,2023/03/30
293,1241,,That Guy!,+6,42,26,62%,68,2023/03/23
294,1241,,Schreihalz Λ,+2,12,4,75%,16,2023/04/04
295,1240,,RICO,+3,21,9,70%,30,2023/03/31
296,1240,,Guziol#,+2,10,2,83%,12,2023/04/15
297,1238,,Airandfelt,+3,11,4,73%,15,2023/04/07
298,1238,,Luckeeey,-1,15,10,60%,25,2023/04/15
299,1238,,Hachald,+3,58,38,60%,96,2023/04/16
300,1238,,N0o2,-2,54,43,56%,97,2023/03/21
301,1238,,TestingWarHead,-1,19,8,70%,27,2023/03/25
302,1237,,Mr. Fahrenheit,+6,91,62,59%,153,2023/04/04
303,1237,,suzune[JP],+1,21,8,72%,29,2023/03/25
