RANK,ELO,LEVEL,ALIAS,STREAK,WINS,LOSSES,RATIO,TOTAL,LAST GAME
1391,1008,,Fatefullemons,-3,5,7,42%,12,2023/04/05
1392,1008,,King Frustrated,-1,22,20,52%,42,2023/04/03
1393,1007,,rocketpossum,+1,21,23,48%,44,2023/04/16
1394,1007,,XaWeN,+2,20,20,50%,40,2023/04/07
1395,1007,,∑ⓔ딸긔맛공듀♡™,-1,11,11,50%,22,2023/03/29
1396,1007,,Breezey,-1,16,19,46%,35,2023/04/17
1397,1007,,SteveMcQueef,-2,6,7,46%,13,2023/04/02
1398,1006,,dascowman,-1,10,10,50%,20,2023/04/09
1399,1006,,四轮车,-3,16,14,53%,30,2023/04/05
1400,1006,,Nikko Nikko Niiiiii,-9,7,10,41%,17,2023/03/22
1401,1006,,Von Krieg,-1,66,71,48%,137,2023/04/17
1402,1006,,Diogenes,+1,6,8,43%,14,2023/03/27
1403,1006,,pwnosaurus,+1,5,6,45%,11,2023/04/10
1404,1006,,The_Buccaneer,+3,13,13,50%,26,2023/04/17
1405,1005,,aleX ツ,-5,6,7,46%,13,2023/03/28
1406,1005,,Че,+10,25,24,51%,49,2023/03/30
1407,1005,,The Anti-Liberal,-1,18,18,50%,36,2023/04/03
1408,1005,,Williams,+2,26,24,52%,50,2023/04/13
1409,1004,,mkaye,+1,14,11,56%,25,2023/04/15
1410,1004,,Awesome!,-1,12,15,44%,27,2023/04/09
1411,1004,,WayTooTicklish,-4,23,19,55%,42,2023/03/30
1412,1004,,SmoothieOutOfGoofy,+5,13,10,57%,23,2023/04/17
1413,1004,,Handsome Jack,+1,23,18,56%,41,2023/04/17
1414,1004,,Crunch,+1,12,11,52%,23,2023/04/02
1415,1004,,Micro,-1,14,13,52%,27,2023/04/12
1416,1004,,Rahan,+1,9,9,50%,18,2023/04/16
1417,1003,,Eagle_One,-2,18,21,46%,39,2023/03/23
1418,1003,,Brink,-2,10,12,45%,22,2023/04/07
1419,1003,,dmitrippp,-1,14,14,50%,28,2023/04/07
1420,1003,,unicorn,-1,7,6,54%,13,2023/03/31
1421,1003,,Winter,-1,8,9,47%,17,2023/03/31
1422,1002,,Smokindro420,+2,7,6,54%,13,2023/04/05
1423,1002,,Mathaus,+1,14,16,47%,30,2023/04/01
1424,1002,,Gorka,-3,7,9,44%,16,2023/03/23
1425,1002,,KG,+6,12,12,50%,24,2023/04/17
1426,1002,,YzY,+1,8,7,53%,15,2023/04/09
1427,1001,,ArmhairGeneral,-1,16,15,52%,31,2023/03/25
1428,1001,,Victorforce Alpha,+3,8,7,53%,15,2023/04/13
1429,1001,,Kingkong,+2,24,24,50%,48,2023/04/02
1430,1001,,Shup,-2,12,14,46%,26,2023/04/07
1431,1001,,Flower,+1,35,42,45%,77,2023/04/15
1432,1001,,Humba,-1,18,15,55%,33,2023/04/02
1433,1001,,Wahuhi,+1,13,13,50%,26,2023/04/08
1434,1000,,DEKA,-1,5,7,42%,12,2023/04/16
1435,1000,,Vodpalto,+5,8,8,50%,16,2023/04/10
1436,1000,,Gamer Girl 2k7,+4,6,5,55%,11,2023/04/01
1437,1000,,Josef Ballin',+1,7,7,50%,14,2023/03/27
1438,1000,,dikl2001,-1,8,9,47%,17,2023/04/01
1439,1000,,Lowang,-1,9,9,50%,18,2023/03/27
1440,1000,,Azildrake,+1,46,48,49%,94,2023/04/17
1441,999,,Feier,+1,6,6,50%,12,2023/04/16
1442,999,,ryad1,+1,29,30,49%,59,2023/04/11
1443,999,,Hans,+1,9,9,50%,18,2023/04/07
1444,999,,maettolae,-1,14,14,50%,28,2023/03/29
1445,999,,{-.{-.{ Ur Mom }.-}.-},+2,6,6,50%,12,2023/04/07
1446,999,,Tibu,-2,14,16,47%,30,2023/04/06
1447,999,,Butter0185,+1,41,41,50%,82,2023/04/11
1448,999,,sailor,-1,5,5,50%,10,2023/03/21
1449,998,,Big Yellow,+2,9,8,53%,17,2023/04/17
1450,998,,Disi,-1,10,13,43%,23,2023/03/31
1451,998,,Disi,-1,10,13,43%,23,2023/03/31
1452,998,,PotentialofGames,-1,24,26,48%,50,2023/04/17
1453,998,,Dogking,-3,15,20,43%,35,2023/04/15
1454,998,,Defender,-1,8,7,53%,15,2023/03/26
1455,998,,THE_FAB,-5,20,27,43%,47,2023/03/31
1456,998,,cadlab,-1,18,18,50%,36,2023/04/04
1457,998,,BMac,+1,12,15,44%,27,2023/04/06
1458,998,,blu75mobil,-1,5,6,45%,11,2023/03/26
1459,998,,Louis_XJ,+2,11,9,55%,20,2023/04/17
1460,998,,Zuntew...,-3,4,6,40%,10,2023/04/16
1461,998,,zzqhax,-4,13,12,52%,25,2023/04/16
1462,997,,klop1324,+1,6,5,55%,11,2023/04/13
1463,997,,Tachales_TTV,+2,9,8,53%,17,2023/03/24
1464,997,,Major Gladouze,-4,9,10,47%,19,2023/04/09
1465,997,,Timeh,-2,6,7,46%,13,2023/04/17
1466,997,,Seb.,-3,16,15,52%,31,2023/04/10
1467,997,,tomthecamel2093,-1,8,8,50%,16,2023/04/15
1468,997,,TTONAK,-6,8,10,44%,18,2023/04/07
1469,997,,Bademester,-1,10,11,48%,21,2023/04/11
1470,997,,phisonkwan,+2,11,11,50%,22,2023/04/10
1471,996,,tiestriker88,-2,5,5,50%,10,2023/04/13
1472,996,,Mr. Fahrenheit,+2,5,5,50%,10,2023/04/10
1473,996,,efjot_ep,+1,13,12,52%,25,2023/04/08
1474,996,,Foxxo,-2,16,17,48%,33,2023/04/13
1475,996,,DaReDeViL,-1,5,6,45%,11,2023/04/17
1476,996,,mickal21,-1,12,12,50%,24,2023/04/15
1477,996,,sebaschaos,-2,74,76,49%,150,2023/04/03
1478,995,,Karthago,-1,12,14,46%,26,2023/04/13
1479,995,,Angler Stein,+1,5,5,50%,10,2023/03/31
1480,995,,kdguno,-5,8,9,47%,17,2023/04/11
1481,995,,AndreMafia,-3,11,12,48%,23,2023/04/15
1482,995,,Cpt.Crunch,-2,10,10,50%,20,2023/04/09
1483,995,,Owieczka,-2,17,16,52%,33,2023/04/10
1484,995,,Autobahn Bisquick,-1,6,7,46%,13,2023/03/24
1485,995,,anthrod,+2,15,12,56%,27,2023/03/22
1486,995,,Lopal8787,+1,6,6,50%,12,2023/03/24
1487,994,,SteezyFebrezeMe,-1,6,8,43%,14,2023/04/12
1488,994,,小霸王其乐无穷,+2,5,6,45%,11,2023/04/15
1489,994,,Crash Override,+1,41,43,49%,84,2023/04/17
1490,994,,sssczlotq,-4,5,6,45%,11,2023/03/21
1491,994,,Ironman_2000,-3,10,10,50%,20,2023/03/27
1492,993,,Antagonist,-3,26,28,48%,54,2023/04/17
1493,993,,FA_Cpl,-3,11,14,44%,25,2023/04/16
1494,993,,BigTymer,+1,11,9,55%,20,2023/04/14
1495,993,,Bugle Dog,-4,34,30,53%,64,2023/04/14
1496,993,,ForFreedom,+2,6,5,55%,11,2023/04/17
1497,992,,Elessar,+1,6,8,43%,14,2023/04/12
1498,992,,Nate Dias,+3,58,54,52%,112,2023/04/16
1499,992,,TurboPepsi,-1,8,10,44%,18,2023/04/11
1500,992,,Lotto Max,-1,10,9,53%,19,2023/04/13
1501,991,,Foaly,+1,16,20,44%,36,2023/03/31
1502,991,,IgM-BcR,+1,9,13,41%,22,2023/04/16
1503,991,,BILBOBUSSINS,+3,14,14,50%,28,2023/04/09
1504,991,,carltonscott,-1,91,96,49%,187,2023/04/17
1505,991,,h403515707,+1,14,14,50%,28,2023/04/13
1506,991,,我干拉了，你呢？,-1,17,18,49%,35,2023/04/11
